word_x1,word_y1,word_x2,word_y2,word,word_conf,page_number,id,line_index,line_x1,line_y1,line_x2,line_y2
1883,3597,2003,3636,Total,96,1,389,36.0,274,3593,3352,3651
2023,3599,2217,3636,Amount,96,1,390,36.0,274,3593,3352,3651
2374,3597,2468,3636,Sub,96,1,391,36.0,274,3593,3352,3651
2485,3597,2605,3636,Total,96,1,392,36.0,274,3593,3352,3651
3123,3602,3352,3646,"32,501.60",95,1,393,36.0,274,3593,3352,3651
193,3714,297,3751,GST,55,1,394,37.0,193,3699,2767,3771
314,3714,339,3751,0,55,1,395,37.0,193,3699,2767,3771
356,3714,400,3750,%,82,1,396,37.0,193,3699,2767,3771
645,3716,742,3753,0.00,97,1,397,37.0,193,3699,2767,3771
2195,3716,2292,3753,0.00,0,1,398,37.0,193,3699,2767,3771
2375,3704,2594,3743,Discount,96,1,399,37.0,193,3699,2767,3771
2647,3707,2670,3743,0,92,1,400,37.0,193,3699,2767,3771
2749,3699,2767,3771,9%,25,1,401,37.0,193,3699,2767,3771
199,3823,303,3860,GST,58,1,402,38.0,199,3805,3351,3862
320,3823,345,3860,5,58,1,403,38.0,199,3805,3351,3862
362,3823,406,3859,%,92,1,404,38.0,199,3805,3351,3862
2191,3825,2288,3862,0.00|,86,1,405,38.0,199,3805,3351,3862
2374,3807,2515,3844,CGST,92,1,406,38.0,199,3805,3351,3862
2532,3805,2651,3844,Total,96,1,407,38.0,199,3805,3351,3862
3172,3814,3351,3857,"2,912.53",95,1,408,38.0,199,3805,3351,3862
181,3926,285,3963,GST,93,1,409,39.0,181,3908,3351,3985
303,3926,356,3962,12,90,1,410,39.0,181,3908,3351,3985
373,3926,417,3962,%,93,1,411,39.0,181,3908,3351,3985
581,3929,737,3966,420.60,96,1,412,39.0,181,3908,3351,3985
952,3909,1080,3985,25.24,96,1,413,39.0,181,3908,3351,3985
1294,3909,1422,3985,25.24,96,1,414,39.0,181,3908,3351,3985
2131,3929,2287,3966,471.08,93,1,415,39.0,181,3908,3351,3985
2293,3908,2346,3985,|,90,1,416,39.0,181,3908,3351,3985
2374,3914,2513,3951,SGST,90,1,417,39.0,181,3908,3351,3985
2529,3912,2649,3951,Total,96,1,418,39.0,181,3908,3351,3985
3172,3930,3351,3973,"2,912.53",96,1,419,39.0,181,3908,3351,3985
181,4026,417,4063,GST18%,86,1,420,40.0,181,4018,3353,4079
433,4022,443,4079,6,74,1,421,40.0,181,4018,3353,4079
508,4028,737,4072,"32,081.00",94,1,422,40.0,181,4018,3353,4079
878,4028,1076,4072,"2,887.29",96,1,423,40.0,181,4018,3353,4079
1220,4028,1418,4072,"2,887.29",96,1,424,40.0,181,4018,3353,4079
2049,4018,2274,4074,"37,855.58",96,1,425,40.0,181,4018,3353,4079
2375,4026,2492,4063,IGST,92,1,426,40.0,181,4018,3353,4079
2509,4024,2628,4063,Total,96,1,427,40.0,181,4018,3353,4079
3265,4033,3353,4069,0.00,96,1,428,40.0,181,4018,3353,4079
181,4128,285,4165,GST,95,1,429,41.0,181,4125,2712,4183
302,4128,356,4165,28,92,1,430,41.0,181,4125,2712,4183
373,4128,417,4164,%,92,1,431,41.0,181,4125,2712,4183
2191,4131,2288,4168,0.00,93,1,432,41.0,181,4125,2712,4183
2298,4125,2337,4183,|,93,1,433,41.0,181,4125,2712,4183
2375,4129,2533,4168,Round,93,1,434,41.0,181,4125,2712,4183
2553,4129,2712,4178,off(+/-),72,1,435,41.0,181,4125,2712,4183
172,4240,342,4281,GSTIN,91,1,436,42.0,172,4235,2660,4283
366,4240,468,4281,No:,55,1,437,42.0,172,4235,2660,4283
532,4240,1064,4281,27BGRPS7396K1Z5,82,1,438,42.0,172,4235,2660,4283
1409,4235,1512,4271,PAN,96,1,439,42.0,172,4235,2660,4283
1533,4235,1620,4272,NO:,93,1,440,42.0,172,4235,2660,4283
1643,4235,1977,4272,BGRPS7396K,88,1,441,42.0,172,4235,2660,4283
2374,4244,2521,4283,Grand,96,1,442,42.0,172,4235,2660,4283
2540,4244,2660,4283,Total,96,1,443,42.0,172,4235,2660,4283
181,4355,228,4389,In,96,1,444,43.0,181,4351,1466,4390
243,4353,392,4390,Words,71,1,445,43.0,181,4351,1466,4390
410,4365,419,4390,:,71,1,446,43.0,181,4351,1466,4390
489,4352,588,4389,Forty,86,1,447,43.0,181,4351,1466,4390
600,4352,687,4381,Four,95,1,448,43.0,181,4351,1466,4390
699,4351,886,4386,"Thousand,",95,1,449,43.0,181,4351,1466,4390
899,4351,974,4380,Five,96,1,450,43.0,181,4351,1466,4390
986,4351,1148,4381,Hundred,96,1,451,43.0,181,4351,1466,4390
1160,4352,1259,4389,Forty,96,1,452,43.0,181,4351,1466,4390
1270,4351,1367,4389,Eight,96,1,453,43.0,181,4351,1466,4390
1380,4351,1466,4389,Only,95,1,454,43.0,181,4351,1466,4390
173,4474,316,4503,TERMS,92,1,455,44.0,173,4474,3360,4521
332,4474,359,4503,&,92,1,456,44.0,173,4474,3360,4521
373,4474,629,4503,CONDITIONS,95,1,457,44.0,173,4474,3360,4521
1181,4483,1292,4518,Bank,96,1,475,44.0,173,4474,3360,4521
1307,4483,1442,4517,Detail:,95,1,476,44.0,173,4474,3360,4521
2699,4486,2778,4521,For,96,1,493,44.0,173,4474,3360,4521
2807,4485,2985,4520,LAXMI,96,1,494,44.0,173,4474,3360,4521
3000,4485,3360,4521,ENTERPRISES,95,1,495,44.0,173,4474,3360,4521
178,4544,247,4569,18%,96,1,458,45.0,178,4544,2162,4582
260,4544,436,4569,INTEREST,93,1,459,45.0,178,4544,2162,4582
447,4544,675,4569,CHARGABLE,91,1,460,45.0,178,4544,2162,4582
688,4544,862,4569,PAYMENT,96,1,461,45.0,178,4544,2162,4582
873,4544,991,4569,AFTER,96,1,462,45.0,178,4544,2162,4582
1181,4547,1292,4582,Bank,96,1,477,45.0,178,4544,2162,4582
1307,4549,1442,4582,Name:,96,1,478,45.0,178,4544,2162,4582
1459,4549,1550,4581,THE,93,1,479,45.0,178,4544,2162,4582
1568,4549,1731,4581,KARUR,92,1,480,45.0,178,4544,2162,4582
1746,4549,1901,4581,VYSYA,91,1,481,45.0,178,4544,2162,4582
1918,4549,2049,4581,BANK,96,1,482,45.0,178,4544,2162,4582
2065,4549,2162,4581,LTD.,96,1,483,45.0,178,4544,2162,4582
178,4593,251,4618,DUE,95,1,463,46.0,178,4593,1697,4646
264,4593,359,4618,DATE,95,1,464,46.0,178,4593,1697,4646
1179,4611,1269,4646,AIC:,92,1,484,46.0,178,4593,1697,4646
1288,4613,1697,4646,2115135000002938,91,1,485,46.0,178,4593,1697,4646
178,4642,384,4667,REGISTERD,91,1,465,47.0,178,4642,992,4667
398,4642,523,4667,UNDER,96,1,466,47.0,178,4642,992,4667
536,4642,608,4667,GST,96,1,467,47.0,178,4642,992,4667
619,4642,692,4667,ACT,96,1,468,47.0,178,4642,992,4667
704,4642,799,4667,DATE,96,1,469,47.0,178,4642,992,4667
811,4642,992,4667,01-07-2017,96,1,470,47.0,178,4642,992,4667
1181,4677,1305,4709,RTGS,95,1,486,48.0,177,4677,1723,4717
1323,4677,1400,4709,NO:,93,1,487,48.0,177,4677,1723,4717
1421,4677,1723,4709,KVBL0002115,87,1,488,48.0,177,4677,1723,4717
177,4692,344,4717,SUBJECT,96,1,471,48.0,177,4677,1723,4717
354,4692,402,4717,TO,96,1,472,48.0,177,4677,1723,4717
416,4692,560,4717,MUMBAI,96,1,473,48.0,177,4677,1723,4717
573,4692,849,4717,JURISDICTIONS,96,1,474,48.0,177,4677,1723,4717
1181,4740,1335,4774,Branch,92,1,489,49.0,1181,4740,3375,4796
1355,4751,1362,4774,:,92,1,490,49.0,1181,4740,3375,4796
1380,4742,1587,4774,ANDHERI,93,1,491,49.0,1181,4740,3375,4796
1605,4740,1663,4784,(E),92,1,492,49.0,1181,4740,3375,4796
2924,4747,3159,4785,Authorised,96,1,496,49.0,1181,4740,3375,4796
3177,4749,3375,4796,Signature,95,1,497,49.0,1181,4740,3375,4796
3191,4869,3275,4905,Page,92,1,498,50.0,3191,4867,3382,4905
3289,4868,3305,4896,1,92,1,499,50.0,3191,4867,3382,4905
3320,4867,3353,4896,of,94,1,500,50.0,3191,4867,3382,4905
3365,4868,3382,4896,2,96,1,501,50.0,3191,4867,3382,4905
